Year,Race,Population
2019,Hispanic/Latino,"15488114"
2019,White,"14364928"
2019,Asian,"5919583"
2019,Black,"2213986"
2019,Multiracial,"1141817"
2019,American Indian/Alaska Native,"162522"
2019,Native Hawaiian and Other Pacific Islander,"146630"
2020,Hispanic/Latino,"15650672"
2020,White,"14175127"
2020,Asian,"5987825"
2020,Black,"2219175"
2020,Multiracial,"1160299"
2020,American Indian/Alaska Native,"161666"
2020,Native Hawaiian and Other Pacific Islander,"146889"
2021,Hispanic/Latino,"15678784"
2021,White,"13811099"
2021,Asian,"5992155"
2021,Black,"2191696"
2021,Multiracial,"1163326"
2021,American Indian/Alaska Native,"159790"
2021,Native Hawaiian and Other Pacific Islander,"146141"
